gene,title,journal,year,PMID,DOI,evidence_grade,study_type,summary,evidence_categories,publication_types,mesh_terms
AIF1,Identification of novel therapeutic targets for chronic kidney disease and kidney function by integrating multi-omics proteome with transcriptome.,Genome medicine,2024,38898508,10.1186/s13073-024-01356-x,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: The other 15 proteins were also candidate targets (GATM, AIF1L, DQA2, PFKFB2, NFATC1, activin AC, Apo A-IV, MFAP4, DJC10, C2CD2L, TCEA2, HLA-E, PLD3, AIF1, and GMPR1).",Association; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Renal Insufficiency, Chronic; Proteome; Transcriptome; Biomarkers; Kidney; Proteomics; Quantitative Trait Loci; Genome-Wide Association Study; Molecular Targeted Therapy; Multiomics"
AIF1,Characterizing the immune landscape of tumor-infiltrating lymphocytes in non-small cell lung cancer.,Genes and immunity,2025,40325180,10.1038/s41435-025-00330-w,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: During the transitional phase, macrophages (FTL) and dendritic (AIF1) cells transported the most CD3 TCR clones to T cells, while cytotoxicity CD8+ T (NKG7) cells transported to terminal exhausted CD8+ T cells.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Lung Neoplasms; Carcinoma, Non-Small-Cell Lung; Lymphocytes, Tumor-Infiltrating; CD8-Positive T-Lymphocytes"
AIF1,Identification and experimental validation of biomarkers for acute myeloid leukemia based on single-cell RNA sequencing data.,Molecular and cellular probes,2026,41448409,10.1016/j.mcp.2025.102059,A,Human single-cell/transcriptomic study,"PubMed abstract evidence: MR analysis of marker genes showed that ITGB2, AIF1, CA2, CST7, and JCHAIN had a significant causal relationship with AML.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Leukemia, Myeloid, Acute; Single-Cell Analysis; Biomarkers, Tumor; Sequence Analysis, RNA; Cell Line, Tumor; Cell Proliferation; Apoptosis; Gene Regulatory Networks"
AQP3,The Water Transport System in Astrocytes-Aquaporins.,Cells,2022,36010640,10.3390/cells11162564,B,Review,"PubMed abstract evidence: Various subtypes of AQPs (AQP1, AQP3, AQP4, AQP5, AQP8 and AQP9) have been reported to be expressed in astrocytes, and the expressions and subcellular localizations of AQPs in astrocytes are highly correlated with both their physiological and pathophysiological functions.",Review; Mechanism; Biomarker,"Journal Article; Review; Research Support, Non-U.S. Gov't",Aquaporins; Astrocytes; Biological Transport; Blood-Brain Barrier; Water
AQP3,AQP3 and AQP9-Contrary Players in Sepsis?,International journal of molecular sciences,2024,38279209,10.3390/ijms25021209,B,Human study,"PubMed abstract evidence: In immune cells, AQP3 and AQP9 are of special interest.",Association; Biomarker; Experimental evidence,Journal Article,Humans; Aquaporin 3; Aquaporins; Sepsis
AQP3,SCFFBXW5-mediated degradation of AQP3 suppresses autophagic cell death through the PDPK1-AKT-MTOR axis in hepatocellular carcinoma cells.,Autophagy,2024,38726865,10.1080/15548627.2024.2353497,B,Human and laboratory/animal study,"PubMed abstract evidence: AQP3 (aquaporin 3 (Gill blood group)), a member of the AQP family, is an aquaglyceroporin which transports water, glycerol and small solutes across the plasma membrane.",Association; Mechanism; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Humans; Carcinoma, Hepatocellular; Liver Neoplasms; Autophagy; TOR Serine-Threonine Kinases; Proto-Oncogene Proteins c-akt; 3-Phosphoinositide-Dependent Protein Kinases; Aquaporin 3; Signal Transduction; F-Box Proteins; Cell Line, Tumor; Ubiquitination; Proteolysis; Lysosomes; Animals"
C6orf48,"Single-nucleotide polymorphisms associated with symptomatic infection and differential human gene expression in healthy seropositive persons each implicate the cytoskeleton, integrin signaling, and oncosuppression in the pathogenesis of human parvovirus B19 infection.",The Journal of infectious diseases,2005,15962222,10.1086/430950,A,Human study,"PubMed abstract evidence: Differential expression was confirmed in 6 of 38 genes (SKIP, MACF1, SPAG7, FLOT1, c6orf48, and RASSF5) tested using real-time quantitative polymerase chain reaction in a different group of healthy subjects.",Association; Biomarker; Experimental evidence,"Journal Article; Research Support, Non-U.S. Gov't","Adolescent; Adult; Child; Child, Preschool; Cytoskeleton; Female; Gene Expression Regulation, Viral; Genetic Predisposition to Disease; Humans; Infant; Integrins; Male; Middle Aged; Parvoviridae Infections; Parvovirus; Polymorphism, Single Nucleotide; Reference Values; Signal Transduction"
C6orf48,Association of GAL-8 promoter methylation levels with coronary plaque inflammation.,International journal of cardiology,2024,38246423,10.1016/j.ijcard.2024.131782,A,Human study,"PubMed abstract evidence: Among the differentially hypomethylated genes were GAL-8, LTF, and RFPL3, while the highly methylated genes were TMEM9B, ANK3, and C6orF48.",Association; Mechanism; Biomarker; Experimental evidence,Journal Article,"Humans; Carrier Proteins; Coronary Disease; DNA Methylation; Inflammation; Leukocytes, Mononuclear; Promoter Regions, Genetic; Galectins"
C6orf48,Advancing leprosy risk prediction through identification of a whole blood host transcriptomic biomarker signature including non-coding genes.,Scientific reports,2025,41455820,10.1038/s41598-025-33878-8,A,Human study,"PubMed abstract evidence: Furthermore, the optimal 3-gene signature consisted of two non-coding genes and one coding gene (SNHG5, SNHG8, C6orf48; sensitivity: 88%; specificity: 88%; AUC: 0.96).",Association; Biomarker; Experimental evidence,Journal Article,Humans; Leprosy; Transcriptome; Biomarkers; Male; Female; Gene Expression Profiling; Adult; Middle Aged; Machine Learning
CCL4,Trafficking of natural killer cells.,Current molecular medicine,2004,15354873,10.2174/1566524043360609,B,Review,Review organizes chemokines and receptors involved in NK-cell movement between blood and tissues.,Mechanism; Review,"Journal Article; Research Support, U.S. Gov't, P.H.S.; Review","Animals; Cell Adhesion Molecules; Cytokines; Gene Expression; Humans; Killer Cells, Natural; Mice; Receptors, Chemokine; Sensitivity and Specificity; Up-Regulation"
