leiden_string,cells,median_doublet_score,mean_doublet_score,predicted_doublets,median_total_counts,median_genes,median_mt_percent,predicted_doublet_percent
0,864,0.0342789598108747,0.0430417446713447,8,3722.0,1268.5,4.7971606,0.9259259259259259
1,509,0.05369649805447472,0.06263900858686967,0,4713.0,1402.0,2.4119718,0.0
10,35,0.21198156682027655,0.2697168639917423,13,6666.0,1873.0,4.344512,37.142857142857146
2,162,0.0418049104180491,0.045727541474133646,0,3690.5,1086.0,2.2479172,0.0
3,1050,0.0435374149659864,0.047601476805073095,0,3937.0,1130.0,2.2641225,0.0
4,569,0.0418049104180491,0.051611652647842454,0,3537.0,1255.0,2.9551954,0.0
5,34,0.045359385903698535,0.0513867711284058,0,6567.0,2059.0,1.925564,0.0
6,605,0.019909502262443438,0.034256984175250776,11,3361.0,1113.0,2.8034189,1.8181818181818181
7,44,0.08413578546172569,0.07935724156944172,0,7918.0,2003.0,3.2033947,0.0
8,190,0.021122139088679423,0.047717118925641455,6,3090.5,1326.5,2.6179457,3.1578947368421053
9,107,0.04015544041450777,0.047310312576073044,0,6587.0,1918.0,3.8776624,0.0
